#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cast_flock_of_doom;Cast Flock of Doom;;;;;;;;;;;;;x
cast_final_transmutation;Cast Final Transmutation;;;;;;;;;;;;;x
cast_gehennas_golden_hounds;Cast Gehenna's Golden Hounds;;;;;;;;;;;;;x
cast_searing_doom;Cast Searing Doom;;;;;;;;;;;;;x
cast_the_dwellers_below;Cast the Dwellers Below;;;;;;;;;;;;;x
cast_shield_of_thorns;Cast Shield of Thorns;;;;;;;;;;;;;x
cast_awakening_of_the_wood;Cast Awakening of the Woods;;;;;;;;;;;;;x
cast_chain_lightning;Cast Chain Lightning;;;;;;;;;;;;;x
cast_urannons_thunderbolt;Cast Urannon's Thunderbolt;;;;;;;;;;;;;x
cast_iceshard_blizzard;Cast Iceshard Blizzard;;;;;;;;;;;;;x
cast_purple_sun_of_xereus2;Cast Purple Sun of Xereus;;;;;;;;;;;;;x
cast_doom_and_darkness2;Cast Doom and Darkness;;;;;;;;;;;;;x
cast_spirit_leech;Cast Spirit Leech;;;;;;;;;;;;;x
cast_mork_wants_ya;Cast Mork Wants Ya!;;;;;;;;;;;;;x
cast_foot_of_gork;Cast Foot of Gork;;;;;;;;;;;;;x
cast_gaze_of_gork;Cast Gaze of Gork;;;;;;;;;;;;;x
gift_sword_1;Gift Runesword;;;;;;;;;;;;;x
gift_sword_2;Gift Sword of Ice;;;;;;;;;;;;;x
gift_sword_3;Gift Sword of Fire;;;;;;;;;;;;;x
gift_sword_4;Gift Sword of Lightning;;;;;;;;;;;;;x
gift_sword_5;Gift Sword of Destruction;;;;;;;;;;;;;x
gift_ring_of_persuasion;Gift Ring of Persuasion;;;;;;;;;;;;;x
gift_ring_of_invisibility;Gift Ring of Invisibility;;;;;;;;;;;;;x
gift_ring_of_speed;Gift Ring of Speed;;;;;;;;;;;;;x
gift_ring_of_command;Gift Ring of Command;;;;;;;;;;;;;x
gift_amulet_of_protection_1;Gift Lesser Amulet of Protection;;;;;;;;;;;;;x
gift_amulet_of_protection_3;Gift Amulet of Protection;;;;;;;;;;;;;x
gift_amulet_of_protection_5;Gift Greater Amulet of Protection;;;;;;;;;;;;;x
claim_the_throne;Unite the Empire;;;;;;;;;;;;;x
hold_fertility_ritual;Hold a Ritual to Serena;;;;;;;;;;;;;x
hold_fertility_ritual_desc;Once every spring, the Amazons disregard their laws about male contact and hold a feast in honor of the Snake-Goddess of fertility.;;;;;;;;;;;;;x
send_a_seductress;Send a Seductress;;;;;;;;;;;;;x
send_a_seductress_desc;As a Lahmian Queen, you can send your daughters abroad to seduce individuals of note. If successful in ingratiating themselves into the local high society, they can use that position to manipulate their target into sending you troops or gold. It is not without expenses, however - to pull off the role of a newly arrived rich noblewoman requires money, and the more powerful the target is, the more money it will take to impress them.;;;;;;;;;;;;;x
seduce_target_personally;Seduce Target Personally;;;;;;;;;;;;;x
seduce_target_personally_desc;As a Lahmian, you can go abroad to seduce individuals of note. If successful in ingratiating yourself into the local high society, you can use that position to manipulate your target into sending you troops or gold. It is not without expenses, however - to pull off the role of a newly arrived rich noblewoman requires money, and the more powerful the target is, the more money it will take to impress them.;;;;;;;;;;;;;x
recall_from_mission;Recall from Mission;;;;;;;;;;;;;x
recall_from_mission_desc;You can recall your daughter to return home, but be aware that she simply cannot pack up and leave. It may take up to a year before she is able to dislodge herself from her current cover without her trail leading back to you and potentially damaging the sisterhood's interests.;;;;;;;;;;;;;x
bring_lover_home;Bring your lover to your court;;;;;;;;;;;;;x
bring_lover_home_desc;If your lover is unlanded you can attempt to invite him to your court. This is particularly useful if he has claims on certain titles... Be aware that if he goes off with you he will be disinherited by his family, but you can still press his claims via war and install him as a Lahmian puppet in his family's lands to rule in the name of the Sisterhood. As soon as he arrives in your court you can turn him into a vampire, or keep him as a human minion, if you wish.;;;;;;;;;;;;;x
recall_from_recruitment_mission;Recall from recruitment mission;;;;;;;;;;;;;x
recall_from_recruitment_mission_desc;This character is currently on a mission to recruit suitably beautiful and intelligent women of high birth to the sisterhood. Do you wish to send a recall order?;;;;;;;;;;;;x
send_on_recruitment_mission;Send on recruitment mission;;;;;;;;;;;;x
send_on_recruitment_mission_desc;You can send out either members of the sisterhood or males to recruit suitably beautiful and scheming women of high birth to the Lahmian cause. They will remain on mission until recalled, and will need some funds to finance this venture in proper style.;;;;;;;;;;;x
Chose_option_B_a_startup;Only valid if option B was chosen at start-up;;;;;;;;;;;x
use_potion_of_healing;Use Potion of Healing;;;;;;;;;;;x
steal_artifact;Steal Artifact;;;;;;;;;;;;;
steal_artifact_desc;Take any and all artifacts of value in possession of [Root.GetFirstName].;;;;;;;;;;;;;
