#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ANCIENTS_DESC;In Ulthuan, the Phoenix King Bel-Hathor of Saphery decided to send an expedition to the Old World for the first time in centuries. Led by Finubar, Prince of Eataine, the expedition established contact and trade with many of the civilized nations they found there. In cold Naggaroth, Malekith, the Witch King, sent raiders and ambassadors to the four corners of the world, hoping to grow his wealth and influence and sabotage the efforts of the Phoenix King. Meanwhile High King Alrik of Karaz-a-Karak ponders on the Dwarf grudges yet to be settled, and High Priest Astragoth directs the wicked industry of the Chaos Dwarfs from Zharr-Naggrund, the City of Fire and Desolation, in the name of the Bullfather Hashut...;;;;;;;;;;;;;x,,
BM_NAGASH;Legacy of Nagash;;;;;;;;;;;;;x
BM_NAGASH_ERA;Legacy of Nagash;;;;;;;;;;;;;x
BM_NAGASH_ERA_INFO;Greatest among all necromancers, Nagash was the father of the dark arts of Necromancy. Though believed to have long been defeated by the man-god Sigmar, his influence lingers on, in Nehekhara, where the undying Tomb Kings still vie for their ancient domains, often oblivious to their own undeath, caused by Nagash's Spell of Awakening, while those who drank from his "Elixir of Life" still plague the world as Vampires, the children of the night...;;;;;;;;;;;;;x,,
BM_NAGASH_DESC;Greatest among all necromancers, Nagash was the father of the dark arts of Necromancy. Though believed to have long been defeated by the man-god Sigmar, his influence lingers on, in Nehekhara, where the undying Tomb Kings still vie for their ancient domains, often oblivious to their own undeath, caused by Nagash's Spell of Awakening, while those who drank from his "Elixir of Life" still plague the world as Vampires, the children of the night...;;;;;;;;;;;;;x,,
BM_BEASTS;Perilous Beasts;;;;;;;;;;;;;x
BM_BEASTS_ERA;Perilous Beasts;;;;;;;;;;;;;x
BM_BEASTS_ERA_INFO;Perilous Beasts:\nA Study of Creatures Fair and Foul.\n“Greetings, dear reader. To compile this tome I travelled thousands of miles, learned dozens of languages, fought to save both my life and my soul, lost my left hand and nearly my tongue! Though age now dims my eyes, I can go to Morr’s Realm content that no finer study of the monsters of the Old World has yet been written. I began this tome as a search for truth and while I’m certain there is truth in these pages, even I can’t tell you exactly where it lies. I have sought to illuminate the threats that face the Old World but only Lord Sigmar can protect us from the machinations of evil and the enemy within. May he guide and watch over us all….”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,,
BM_BEASTS_DESC;Perilous Beasts:\nA Study of Creatures Fair and Foul.\n“Greetings, dear reader. To compile this tome I travelled thousands of miles, learned dozens of languages, fought to save both my life and my soul, lost my left hand and nearly my tongue! Though age now dims my eyes, I can go to Morr’s Realm content that no finer study of the monsters of the Old World has yet been written. I began this tome as a search for truth and while I’m certain there is truth in these pages, even I can’t tell you exactly where it lies. I have sought to illuminate the threats that face the Old World but only Lord Sigmar can protect us from the machinations of evil and the enemy within. May he guide and watch over us all….”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,,
#Era 1 (846 characters)
ERA_CHAR_INFO_80000;Independent from Stirland since the Night of the Restless Dead in 1681, Sylvania had long been ruled by the von Drak dynasty. This all changed in 1797 when Count Otto 'the Mad', now on his death bed, married his daughter Isabella to the mysterious Vlad von Carstein to keep his brother Leopold from the throne. Leopold von Drak saw his inheritance slipping away and protested the union, only to be hurled from the castle's window by Vlad. This was later known as the First Defenestration of Drakenhof. Vlad and Isabella ruled for many years in a fair, but often brutal fashion (as can be seen in the Second through Thirteenth Defenestrations of Drakenhof). As Sylvania was backwater in the Empire, no one questioned how each new Count of Sylvania looked so similar to the one before him. However, Sylvania will not stay a backwater for much longer...;;;;;;;;;;;;;x,,
ERA_CHAR_INFO_51000;During what was later known as the Time of Three Emperors, the line of elected Emperors continued to hold against the Emperors of Talabecland and the Wolf Emperors of Middenland. This tenuous authority ended in 1979 IC when the infant Grand Baroness Magritta van der Maacht of Westerland was elected with only the support of Elector Counts of Wissenland, Stirland, and Averland. The Grand Theogonist, seeing this for the farce that was, declared the office of Emperor vacant. Magritta naturally disputes this and is willing to enforce her claim through force of arms if need be. The fractured states in the Empire could provide the opportunity for 'Empress' Magritta to make this dream become a reality, or it could be her destruction...;;;;;;;;;;;;;x,,,
ERA_CHAR_INFO_84000;Following the death of the legendary Mandred 'Skavenslayer', the office of Emperor became a ceremonial title, traded among the Elector Counts for favours. This state of affairs ended in 1359 IC when the the Grand Count of Stirland was elected to serve as Emperor, much to the chagrin of Grand Duchess Ottilia of Talabecland. Supported by the cult of Taal and Rhya, Ottilia decided to press her own claim to the throne. Despite winning a decisive victory in the Battle of the Talabec in 1360 IC, Ottilia was ultimately unable take the throne for herself. Still, Talabeland's independence and Ottilia's claim to the throne have been preserved to this day. The current (self styled) Empress Ottilia, like her ancestor of the same name, seeks to unite the Empire under her rule. It remains to be seen if ancient Talabecland can survive the coming wars...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_88000;In the aftermath of the Grand Theogonist's dissolution of the Empire in 1980 IC, nobles across the Empire began to picture themselves sitting the Imperial throne. Greatest among these was Grand Prince Siegfried von Holzkrug of Reikland. Reikland has always considered itself the most important place in the Empire, as it was location where the the Unberogen tribe of Sigmar's blood had settled. Altdorf's strategic location on the Reik and the near-unconditional support of the Cult of Sigmar has always helped reinforce this claim, much to the chagrin of other Electors. Known elsewhere as the Reikland Pretender, Siegfried seeks the Imperial throne for himself and already has the support of Wissenland. Only time will tell if Siegfried's abilities are equal to his ambitions...;;;;;;;;;;;;;x,,,,,
ERA_CHAR_INFO_81000;Almost two centuries after the civil war over the Imperial throne began, the matter was still not settled. The situation worsened noticeably when the Ulrican Grand Duke Heinrich of Middenland lost the Imperial Election to the Sigmarite Grand Count of Wissenland. Believing himself robbed of his birthright he stormed off in a rage back to Middenheim. There, with the support of the Ar-Ulric, the Grand Duke issued a proclamation declaring himself Emperor, issuing coins and edicts to that effect, and declaring the Sigmarite faith false and heretical. This Ulrican line of so-called 'Wolf' Emperors has continued to this day with Mannfred Todbringer, but like his ancestors it may well be that his reach exceeds his grasp...;;;;;;;;;;;;;x,,,
#Era 2
ERA_CHAR_INFO_31003;The wasteland warlord known as Auntina has gathered power for many years in the unforgiving realms of the north. Now she is ready to make a push for control of the brutal arena of champions in Zanbaijin.;;;;;;;;;;;;;x
ERA_CHAR_INFO_42039;Cast out at a young age for possessing the gift of magic, Azalaïs survived in the wilderness, searching for any who would help her master her gift. She found her allies in the dark, forgotten places inhabited by the twisted, the dispossessed, and the outcast who exist in spite of those who would burn them out. It was not long before she grew in influence enough to lead an army of outlaws, mutants and monsters on her old home and kill all who had once looked down on her. Now the infinite possibilities of Tzeentch are open to her, and none shall stand in her way.;;;;;;;;;;;;;x
ERA_CHAR_INFO_34008;Tat-Ugek has done well for himself in the harsh and twisted landscape of the Chaos Wastes, but why fall into indolence? The wild tribes of the Wastes needs to be subjugated and taught the true extent of Nurgle's love, after all.;;;;;;;;;;;;;x
ERA_CHAR_INFO_35020;Immortal Jozan has ruled the dreaded Zanbaijin - the Arena of Champions - for countless years now, Or has he? Time flows differently in the Chaos Wastes. Jozan rules all the nearby Kurgan tribes with a bloody iron fist, promising them glory, a special place in Khorne's Domain and a chance to - by his hand - rise from the ashes of this world, if they follow him to bloodied victory and death.;;;;;;;;;;;;;x
ERA_CHAR_INFO_25022;Valka Grov has risen to the leadership of the Varg Norscans, propelled by a viciousness and cunning that has proven her a worthy vessel of the gods. Bearing the mark of mutation, she has been blessed by Slaanesh with the ability and ambition to conquer and rule like no other mortal. From the north rides the Serpent Queen, and who would deny her?;;;;;;;;;;;;;x
#Era 3
ERA_CHAR_INFO_95001;Considered an eccentric leader, and expected to be easily manipulated by his advisors, Bel-Hathor was crowned Phoenix King of Ulthuan in 1503. As a wizard prince of Saphery, he was trained to be a skilled warrior and an able diplomat. He would also prove to be a strong ruler, famed for his resolve and wisdom. Despite urgings from his court, Bel-Hathor knew an invasion of Naggaroth would cripple Ulthuan, as well as gamble the extinction of the Elven race, even if the invasion proved successful. Instead, he constructed a system of magical wards around Ulthuan to mislead and confuse potential invaders with illusions. When lone human traders still managed to find their way to Lothern, Bel-Hathor issued a proclamation barring all non-elves from Ulthuan...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_90000;Prince of the northern province of Nagarythe, considered to be the next Phoenix King, but the Elven court felt he was not suited to rule. Malekith was instead appointed Commander of the High Elf army, and he seemed to take the turn of events well and proved to be a brilliant general. Many decades passed and Malekith worked himself into a position of power second only to the Phoenix King, and in -2751 IC he accused the King of being a member of the forbidden Cult of Pleasure. With the king's 'suicide', Malekith demanded that the crown pass to him. Malekith confidently marched into the sacred flame of the god Asuryan to prove himself as Phoenix King, yet the flame refused to suffer his presence and terribly scarred his body. After a long and bloody civil war, Malekith and his followers retreated into exile vowing to one day return and retake Ulthuan...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_60001;Immortal, eternal ruler of Athel Loren, avatar of the goddess Isha and parter to Orion, avatar of Kurnous. She has ruled the forest realm for over three thousand years, facing threats ranging from Chaos incursions to the migrations of Greenskins. Athel Loren has endured it all, but how much longer can it last?;;;;;;;;;;;;;x,,,,,,,
ERA_CHAR_INFO_53009;High King Alrik Deathdealer is the spiritual leader of the Dwarfs as direct descendant of Grungni, ancestor god of mining and smiths, and also King of Karaz-a-Karak - the Everpeak - the largest and most powerful Dwarf stronghold. Concerned by the rise of Vlad von Carstein, he plans to send Dwarf aid against him to whichever Human claimant comes on top of the Imperial Civil War. Most of his subjects though disgree with this, arguing that the protection of the southern Dwarf holds against the Greenskin menace is of paramount importance...;;;;;;;;;;;;;x,,,,,,,
ERA_CHAR_INFO_54010;Astragoth is the oldest living Chaos Dwarf Sorcerer-Prophet, and thus, their leader, as the title of High Priest of Hashut traditionally falls to the oldest among them. He is one of the most potent sorcerers to walk the Plain of Zharr in a thousand years. Most of the Dawi Zharr consider Astragoth quite mad, but while he lives he is still the High Priest of Hashut and they must accept him. Directing the wicked industry of Zharr-Naggrund from atop the Temple of Hashut, he has set his sights on unifying the realm of Ankor-Naggrund...;;;;;;;;;;;;;;x,,,
#Era 4
ERA_CHAR_INFO_15025;In life, Neferata was Queen of the city of Lahmia. After Nagash's first defeat, she procured the Nine Books of Nagash for herself and captured Arkhan the Black, Nagash's most favoured servant. Together they replicated the 'Elixir of Life', originally created by Nagash and thought to prevent death. When her husband poisoned the Elixir in an attempt to stop her plot to take over Lahmia, it brought unforeseen consequences. Neferata died after drinking the poisoned Elixir... and rose again as first of the vampires, immortal creatures who feed on the essence of the living. She shared her "gift" among her closest aristocrats, who went onto found their own vampiric bloodlines. Eventually driven out of Lahmia, she now rules the secretive Lahmian Sisterhood from the ruined hold of Silver Pinnacle, plotting to rule once again as Queen...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_15000;A nobleman of Lahmia and brother to Queen Neferata, Ushoran was amongst the first to be gifted Neferata's diluted Elixir of Life. Eventually, when Neferata and her court were driven from Lahmia, Ushoran travelled to what is now known as the Badlands and unified the humans there under his rule, founding the empire of Strygos. Ruling from Mourkain as a wise, immortal ruler, he and his vampiric followers only fed on the realm's criminals and lowlifes. This was ended by a gigantic Greenskin WAAAGH! which destroyed Mourkain and Strygos, he and his followers were forced to flee. Hated by the other vampire bloodlines and unable to settle, his bloodline were able to feed only on the dead, which eventually transformed them into the bestial Strigoi. Ushoran now roams the world alongside the Strigany nomads, yearning to reclaim their homeland...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_11010;In ancient times, Settra was the first King of Khemri, and by far the most powerful and renowned. He united all the city-states of Nehekhara under his ruthless rule in a great campaign of conquest. As he grew old, he founded the Mortuary Cult, ordering his Liche Priests to find a way to defeat death itself. Settra died with the promise to be reborn as a god once his servants found the proper spell, but he was awoken along with all of his successors as an undead abomination by the usurper Nagash. Retaking his rightful seat in Khemri, he wages war against the other Tomb Kings that awoke into undeath, so that he might rule once more...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_11004;Arkhan the Black, the Liche King, was the first and most loyal of Nagash's followers and his first lieutenant. When Nagash usurped the throne of Nehekhara from his brother, Arkhan was named Grand Vizier by him. He died in a suicidal mission against the Priest King coalition, thus giving Nagash the opportunity to escape. As a reward, he was raised as a Liche by his master, and while we has defeated by King Alcadizzar's armies and later once more by Sigmar, he rose again. Now, he has established himself once again in Nehekhara, in his fortress of old, the Black Tower. From here, he plans to sow terror once more, as the Liche King of Kyrene...;;;;;;;;;;;;;x,
ERA_CHAR_INFO_11017;Khalida, the beloved of Asaph and warrior-queen of Lybaras. She was a respected leader, known across all Nehekhara as a just and honourable ruler. Cousin to the infamous Neferata, Khalida was the first to discover her dark secret. Falsely accused of treason by Neferata during a great banquet, Khalida challenged her to a duel. After a long and arduous fight, she was struck down by the empowered Neferata and forced to drink her blood in order to be turned into a vampire herself. Pleading to the goddess Asaph to save her, Khalida was cleansed of the vampiric taint but also drained of her remaining life. Entombed in a sacred reliquary, she awakened along the rest of Nehekhara's past rulers due to Nagash's spell. Once more reigning as the Warrior-Queen of Lybaras, she has set herself the goal of eradicating all vampires...;;;;;;;;;;;;;x,
#Era 5
ERA_CHAR_INFO_13015;“Goblins live on the cast-offs of other races and frequently thrive in the shadows of their larger green skinned cousins, the Orcs. They are, in general, a miserable treacherous race of petty thieves and vicious cutthroats. There is no depth of casual cruelty or random violence to which a Goblin will not sink, if it senses that it has the power to do so. Goblins can be found just about everywhere, though they tend to favour the mountains. During my travels through the Dwarf realms, I heard the particular story of a Night Goblin tribe inhabiting the once glorious hold of Karak Eight Peaks...”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,
ERA_CHAR_INFO_8001;“Many Beastmen are born to apparently ordinary Humans in the Empire, but in fact the Beastmen of the wild breed virulently too. Around the edges of the civilised world, the taint of Chaos is strong. Here whole new Beastmen armies are born, live, and often die fighting against each other before they ever pose a threat to the stability of civilization, but those who survive always emerge eventually, stronger than ever before. In the vast, untamed land of Norsca, these beasts are much more common and vicious. Here’s the ‘Tale of the Foulspawn’, a gruesome account of one of the bloodiest beastlords to ever prowl the northern lands, translated from the sagas of the Æsling tribe...”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,
ERA_CHAR_INFO_10011;“Though I have not set foot myself on the poisonous jungles that cover most of the continent of Lustria, I’ve observed the dissection of a specimen of its scaly inhabitants, one of the smaller, smooth-skinned creatures. I also had the occasion of interviewing its slayer, an Estalian mercenary by the name of Vicente de Carranza. They are part of a larger species, under a rigid caste system. Apparently the lesser specimens are the administrators and artisans, while their larger kind are the warriors. There is supposedly a caste of priests, vastly different from the rest, that leads the whole race, but the mercenary hadn’t seen any of them. He then told me about the golden city of Itza, one of their greatest settlements...”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,
ERA_CHAR_INFO_5006;“Ogres are big, ugly, brutish monsters that excel at two things: eating and fighting. An Ogre is easily recognized by this massive frame and boulder-like gut, and their grayish, flabby skin conceals tough muscle and alarming endurance. Amongst most folk, this combined with their bristle-like hair and poor personal hygiene is enough reason to shun these crude beasts. Now, no one who has ever smelt an Ogre will believe this, but they are an exceedingly proud race. I had the dubious pleasure of meeting one, and after what seemed an endless meal, proceeded to tell me about the exploits of Tyrant Tharteg of the Gutbreaker tribe, most ponderous Sovereign of Highgrasp…”\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,
ERA_CHAR_INFO_12031;"Orcs are an all-too-familiar sight to many ordinary folk throughout much of the Old World, especially to the south where Orc tribes raid out of the Badlands on a regular basis. Orc culture is based on the idea that it is the right and indeed duty of the strong to oppressively rule the weak. Larger, stronger Orcs are accorded higher status, and indeed an Orc can potentially keep growing throughout his life. All Orcs, even the cleverest, resemble nothing so much as squabbling toddlers that have been magically granted enormous size, horrendous strength, and a variety of barbaric weapons. While staying at the Border Princedom of Akendorf, I was told the tale of the Orc fortress of Iron Rock…"\n- Professor Odric von Wurtbad, University of Altdorf;;;;;;;;;;;;;x,
#ERA_CHAR_INFO_1550000;Tzarina Tetyana may be undisputed ruler of a strong and independent people, but her position is hardly enviable. Her allies are at best unreliable and prone to barbarism, and her enemies are far worse. The Gospodar tribe decided to settle on the unforgiving plains of Kislev, carved from the northern marches of the Empire, but the land is still open to invasion. The Ungol and Roppsman tribes may have been humbled by her ancestors, but they remain strong and independent. The Norscan savages to the north are an ever-present threat, and the Kurgan have begun to migrate south as well, bringing their Dark Gods with them. To the south, the squabbling Imperial claimants continue their bloodshed for no gain, but the newest contender, Vlad, might not prove content with just the Empire...;;;;;;;;;;;;;x
ERA_CHAR_INFO_900043;;;;;;;;;;;;;;x

#ERA NAMES AND OTHER STUFF
ERA_CHAR_NAME_VLAD;Vlad von Carstein;;;;;;;;;;;;;x
ERA_CHAR_NAME_MAGRITTA;Magritta van der Maacht;;;;;;;;;;;;;x
ERA_CHAR_NAME_SIEGFRIED;Siegfried von Holzkrug;;;;;;;;;;;;;x
ERA_CHAR_NAME_OTTILIA;Ottilia Untermensch;;;;;;;;;;;;;x
ERA_CHAR_NAME_MANNFRED_TODBRINGER;Mannfred Todbringer;;;;;;;;;;;;;x
ERA_CHAR_NAME_AUNTY;Auntina Entiti;;;;;;;;;;;;;x
ERA_CHAR_NAME_AZALAIS;Azalais the Changer;;;;;;;;;;;;;x
ERA_CHAR_NAME_TATUGEK;Tat-Ugek the Enormous;;;;;;;;;;;;;x
ERA_CHAR_NAME_VALKA;Valka the Serpent;;;;;;;;;;;;;x
ERA_CHAR_NAME_IMMORTAN;Jozan the Immortal;;;;;;;;;;;;;x
ERA_CHAR_NAME_MALEKITH;Malekith the Witch King;;;;;;;;;;;;;x
ERA_CHAR_NAME_BELHATHOR;Bel-Hathor the Sage;;;;;;;;;;;;;x
ERA_CHAR_NAME_ARIEL;Queen Ariel;;;;;;;;;;;;;x
ERA_CHAR_NAME_ALRIK;High King Alrik;;;;;;;;;;;;;x
ERA_CHAR_NAME_ASTRAGOTH;High Priest Astragoth;;;;;;;;;;;;;x
ERA_CHAR_NAME_NEFERATA;Queen Neferata;;;;;;;;;;;;;x
ERA_CHAR_NAME_USHORAN;Ushoran;;;;;;;;;;;;;x
ERA_CHAR_NAME_SETTRA;Settra the Imperishable;;;;;;;;;;;;;x
ERA_CHAR_NAME_ARKHAN;Arkhan the Black;;;;;;;;;;;;;x
ERA_CHAR_NAME_KHALIDA;Queen Khalida;;;;;;;;;;;;;x
ERA_CHAR_NAME_GOBLIN;Warboss Aggro;;;;;;;;;;;;;x
ERA_CHAR_NAME_GOAT;Beastlord Foulspawn;;;;;;;;;;;;;x
ERA_CHAR_NAME_LIZARD;Hierophant Tloctsa;;;;;;;;;;;;;x
ERA_CHAR_NAME_OGRE;Tyrant Tharteg Gutbreaker;;;;;;;;;;;;;x
ERA_CHAR_NAME_ORC;Warboss Firan;;;;;;;;;;;;;x
#
#
#Loading tips that must be used in this file: 0,10,16,17,28,45,46,47,53,54,,
#Loading tips that mustn't be used in this file: 20
#
LOADING_TIP_0;Small steps corrupt.;;;;;;;;;;;;;x
LOADING_TIP_1;'Deliver us, Lord Sigmar, from the savage race of Northmen which lays waste our realm.' - Common Nordlander prayer;;;;;;;;;;;;;x,,,,,,,
LOADING_TIP_2;Never confuse a Tilean with an Estalian.;;;;;;;;;;;;;x
LOADING_TIP_3;'KILL FOR KHORNE! KILL FOR KHORNE! KILL FOR KHORNE!' - Khornate berserker;;;;;;;;;;;;;x
LOADING_TIP_4;The cross is a popular symbol in the Empire. The left, right, and upper arms represent the Human tribes uniting, and the lower arm represents the Dwarfs.;;;;;;;;;;;;;x,,,,,,
LOADING_TIP_5;The fleur de lys is a common symbol in Bretonnia. The flower is the sacred emblem of the Lady of the Lake, and grows around holy sites.;;;;;;;;;;;;;x
LOADING_TIP_6;In the Chaos Wastes, time and space lose consistency the further north you travel.;;;;;;;;;;;;;x
LOADING_TIP_7;The Hung are the least trustworthy people in the world, even among the treacherous savages of the North.;;;;;;;;;;;;;x
LOADING_TIP_8;Tilea and Estalia were once briefly united in a great empire.;;;;;;;;;;;;;x
LOADING_TIP_9;The ancient empire of Nehekhara had a terrible and long reach, taking slaves and erecting monuments as far north as the present Empire.;;;;;;;;;;;;;x
LOADING_TIP_10;Far to the east, the great empire of Cathay endures.;;;;;;;;;;;;;x
LOADING_TIP_11;Nobody quite knows where little Orcs come from.;;;;;;;;;;;;;x
LOADING_TIP_12;The Lynsk is commonly regarded as the true northern border of civilisation.;;;;;;;;;;;;;x
LOADING_TIP_13;The great rolling plains of Bretonnia are home to some of the greatest knights in the world.;;;;;;;;;;;;;x
LOADING_TIP_14;Pirates originating from Sartosa are a constant thorn in the side of Tilean merchants.;;;;;;;;;;;;;x
LOADING_TIP_15;Eight is the sacred number of Khorne.;;;;;;;;;;;;;x
LOADING_TIP_16;Six is the sacred number of Slaanesh.;;;;;;;;;;;;;x
