#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_elephants;War Beasts;;;;;;;;;;;;x
war_elephants_offensive;War Beasts Offensive;;;;;;;;;;;;x
war_elephants_defensive;War Beasts Defensive;;;;;;;;;;;;x
war_elephants_morale;War Beasts Morale;;;;;;;;;;;;x
tp_monastery_1_desc;This temple serves as the spiritual center of the local worshippers.;Cette église est le centre spirituel de la communauté locale.;Diese Kirche dient als spirituelles Zentrum für die ansässige Gemeinde.;;Esta iglesia constituye el centro espiritual de la comunidad local. ;;;;;;;;;x
tp_monastery_2_desc;People from across the realm come here to visit this impressive temple. It serves as a major landmark, and it can be seen from far away.;Des gens viennent de tout le royaume visiter cette impressionnante cathédrale. Elle est un point de repère important et ses clochers peuvent être vus de très loin.;Menschen aus dem ganzen Reich kommen her, um die beeindruckende Kathedrale zu besuchen. Sie dient als bedeutendes Wahrzeichen, dessen Turmspitzen von Weitem zu sehen sind. ;;Personas de todo el territorio vienen para visitar esta impresionante catedral. Constituye un importante lugar de interés, cuyas agujas se divisan a gran distancia.;;;;;;;;;x
tp_barracks_1_desc;When necessary, peasants from the local farms are conscripted into the temple's militia and stationed here.;Lorsqu'il le faut, des paysans des fermes avoisinantes sont conscrits dans la milice de l'église et sont postés ici.;Falls nötig, werden die ansässigen Bauern in die Kirchen-Miliz eingezogen und hier stationiert. ;;En caso necesario, se reclutan campesinos de las haciendas locales para la milicia eclesiástica y se apostan aquí. ;;;;;;;;;x
tp_elite_barracks_1_desc;These sacred warriors have sworn to defend this temple with their lives.;Ces saints guerriers ont juré de défendre leur église au péril de leur vie.;Diese heiligen Krieger haben geschworen, die Kirche mit ihren Leben zu verteidigen. ;;Estos guerreros santos han jurado defender esta iglesia con su vida. ;;;;;;;;;x
tp_town_1_desc;This small village of devout peasants has formed around the temple.;Ce petit village de paysans pieux a été érigé autour de l'église.;Dieses kleine Dorf gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Esta pequeña aldea de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_2_desc;This town of devout peasants has formed around the temple.;Cette ville de paysans pieux a été érigée autour de l'église.;Diese Stadt gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Este pueblo de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_3_desc;This large town of devout peasants has formed around the temple.;Cette grande ville de paysans pieux a été érigée autour de l'église.;Diese große Stadt gläubiger Bauern hat sich um diese Kirche niedergelassen.;;Esta gran ciudad de campesinos fieles se ha formado alrededor de la iglesia. ;;;;;;;;;x
tp_town_4_desc;The small village that once surrounded this temple has turned into a large city, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour de l'église est devenu une grande cité où des milliers d'habitants ont trouvé leur chez-soi.;Das kleine Dorf, das diese Kirche einmal umgeben hat, hat sich zu einer großen Stadt mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó esta iglesia se ha convertido en una gran ciudad, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_town_5_desc;The small village that once surrounded this temple has turned into a bustling metropolis, with thousands of inhabitants calling it their home.;Le petit village qui s'est un jour construit autour de l'église est devenu une métrople achalandée où des milliers d'habitants ont trouvé leur chez-soi.;Das kleine Dorf, das diese Kirche einmal umgeben hat, hat sich zu einer geschäftigen Metropole mit Tausenden Einwohnern gemausert, die sie als ihre Heimat bezeichnen.;;La pequeña aldea que una vez rodeó esta iglesia se ha convertido en una bulliciosa metrópoli, a la que miles de habitantes consideran su hogar. ;;;;;;;;;x
tp_school_1_desc;This school teaches many subjects and is a center of high learning, but the students enrolled here primarily study to prepare themselves for future careers in the priesthood.;De nombreux sujets sont enseignés dans cette école et c'est un rare lieu de hautes études. Toutefois, les étudiants qui y sont enrôlés se préparent principalement à une carrière au sein du clergé. Les filles n'y sont pas admises.;Diese Schule unterrichtet viele Fächer und ist ein seltenes Zentrum der höheren Lehre, doch die Schüler, die hier eingeschrieben sind, studieren hier hauptsächlich, um sich auf ihre zukünftigen Karrieren im Klerus vorzubereiten. Mädchen sind nicht erlaubt. ;;Esta escuela imparte numerosas materias y es un centro poco habitual para la formación superior, aunque la mayoría de los estudiantes matriculados en ella se preparan para su futura carrera en el clero. No se admiten mujeres.;;;;;;;;;x
ca_keep_1_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ca_keep_2_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ca_keep_3_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ca_keep_4_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ca_keep_5_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ca_keep_6_ormazd_gods_group;Qasbah;Kasbah;Kasbah;;Casbah;;;;;;;;;x
ct_marketplace_1_ormazd_gods_group;Bazaar;Bazar;Bazar;;Bazar;;;;;;;;;x
ct_marketplace_2_ormazd_gods_group;Bazaar;Bazar;Bazar;;Bazar;;;;;;;;;x
ca_town_1_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_town_2_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_town_3_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_town_4_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_town_5_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_town_6_ormazd_gods_group;Qasbah Town;Kasbah;Kasbahstadt;;Pueblo Casbah;;;;;;;;;x
ca_culture_nahuatl_1;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
ca_culture_nahuatl_2;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
ca_culture_nahuatl_3;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
ca_culture_nahuatl_4;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
tb_culture_nahuatl_1;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
tb_culture_nahuatl_2;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
tb_culture_nahuatl_3;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
tb_culture_nahuatl_4;Jaguar Warrior Lodge;Hutte de guerrier jaguar;Jaguarkriegerhütte;;Campamento de Guerreros Jaguar;;;;;;;;;x
ca_culture_nahuatl_1_desc;The fearless Amazon Jaguar warriors are trained here. The Jaguar Warriors are considered to be the all-out fighting troops and full time warriors. The brute force of the Amazonian army, they wear Jaguar skins over their heads with their faces peering out beneath the jaguar mouth.;Les intrépides guerriers de l'ordre des guerriers jaguars s'entraînent ici. Ils représentent l'élite de la machine de guerre aztèque et de nombreuses armées sont connues pour leur déroute à la simple vue des fourrures qui couvrent l'armure des guerriers jaguars.;Hier werden die furchtlosen Krieger des Jaguarordens ausgebildet. Sie sind die Elite der aztekischen Kriegsmaschine und haben schon ganze Armeen durch die bloße Erscheinung ihrer bepelzten Rüstungen in die Flucht geschlagen.;;Aquí se entrenan los valientes guerreros de la Orden del Jaguar. Representan la unidad de élite de los ejércitos aztecas y se dice que el sólo vislumbrar la piel que cubre sus petos causaron el terror en muchos ejércitos.;;;;;;;;;x
ca_culture_frank_norman_german_1_desc;Here Knights of the Realm, Questing Knights and Errant Knights face off against each other in jousting tournaments and other chivalrous competitions.;Ici, les chevaliers se joutent face à face, en tournois et autres compétitions chevaleresques.;Hier treten Ritter auf Turnierkämpfen beim Lanzenstechen, oder anderen ritterlichen Wettbewerben, gegeneinander an. ;;Aquí los caballeros se enfrentan unos contra otros en torneos de justas y otras competiciones caballerescas. ;;;;;;;;;x
ca_culture_group_byzantines_1_desc; Myken Drákoi frourá are trained and drilled here. Working in close relation with the dwarfs in nearby holds, Myrmidens has been able to supply guns and armor to it's cavalry regiments so that they may be better equiped to fight against the Greenskins.;;;;;;;;;x
ca_culture_group_byzantines_1;Drákoi frourá Armory;;;;;;;;;x
ca_culture_group_byzantines_2;Drákoi frourá Armory;;;;;;;;;x
ca_culture_group_byzantines_3;Drákoi frourá Armory;;;;;;;;;x
ca_culture_group_byzantines_4;Drákoi frourá Armory;;;;;;;;;x
ca_culture_somali_1;Bayaji Jungle Warrior Lodge;Caserne d'infanterie légère somalie;Kaserne der somalischen Infanterie;;Cuartel de Infantería Ligera Somalí;;;;;;;;;x
ca_culture_somali_2;Bayaji Jungle Warrior Lodge;Caserne d'infanterie légère somalie;Kaserne der somalischen Infanterie;;Cuartel de Infantería Ligera Somalí;;;;;;;;;x
ca_culture_somali_3;Bayaji Jungle Warrior Lodge;Caserne d'infanterie légère somalie;Kaserne der somalischen Infanterie;;Cuartel de Infantería Ligera Somalí;;;;;;;;;x
ca_culture_somali_4;Bayaji Jungle Warrior Lodge;Caserne d'infanterie légère somalie;Kaserne der somalischen Infanterie;;Cuartel de Infantería Ligera Somalí;;;;;;;;;x
ca_culture_somali_1_desc;The Bayaji tribesmen are experts of guerilla warfare, accustomed to ambushing their prey in the savannah of their homeland. This is where they train and hone their skills.;Une infanterie légère fortement entraînée est utilisée pour patrouiller et défendre les frontières du domaine du dirigeant somali. C'est ici qu'elle s'entraîne afin d'aiguiser ses habiletés.;Die bestens ausgebildete leichte Infanterie wird zur Bewachung und Verteidigung des Gebiets eines somalischen Herrschers eingesetzt. Hier trainieren und perfektionieren die Soldaten ihr Können.;;La Infantería ligera altamente formada se usa para patrullar y defender las fronteras de los dominios de un gobernante somalí. Aquí es donde entrenan y perfeccionan sus estilos.;;;;;;;;;x
ca_culture_west_african_1;Wasai Free Warrior Lodge;Hutte de guerriers libres;Kriegerhütte;;Campamento para los Guerreros;;;;;;;;;x
ca_culture_west_african_2;Wasai Free Warrior Lodge;Hutte de guerriers libres;Kriegerhütte;;Campamento para los Guerreros;;;;;;;;;x
ca_culture_west_african_3;Wasai Free Warrior Lodge;Hutte de guerriers libres;Kriegerhütte;;Campamento para los Guerreros;;;;;;;;;x
ca_culture_west_african_4;Wasai Free Warrior Lodge;Hutte de guerriers libres;Kriegerhütte;;Campamento para los Guerreros;;;;;;;;;x
ca_culture_west_african_1_desc;These free warriors from the Wasai jungle tribes come armed with bows and poisoned arrows.;Ces guerriers libres de la caste des Horon sont armés d'arcs et de flèches empoisonnées.;Diese freien Krieger der Horon-Kaste kommen bewaffnet mit Bögen und vergifteten Pfeilen. ;;Estos guerreros libres de la casta de los horones van armados con arcos y flechas envenenadas. ;;;;;;;;;x
ca_culture_dutch_1;Citizen Militia Quarters;Quartiers des porteurs de godendac;Goedendag-Milizquartiere;;Campo de entrenamiento de milicia de Goedendag;;;;;;;;;x
ca_culture_dutch_2;Citizen Militia Quarters;Quartiers des porteurs de godendac;Goedendag-Milizquartiere;;Campo de entrenamiento de milicia de Goedendag;;;;;;;;;x
ca_culture_dutch_3;Citizen Militia Quarters;Quartiers des porteurs de godendac;Goedendag-Milizquartiere;;Campo de entrenamiento de milicia de Goedendag;;;;;;;;;x
ca_culture_dutch_4;Citizen Militia Quarters;Quartiers des porteurs de godendac;Goedendag-Milizquartiere;;Campo de entrenamiento de milicia de Goedendag;;;;;;;;;x
ca_culture_dutch_1_desc;The Asur typically field citizen militias, armed with spears and bows. They have proved themselves time and time again, against Ulthuan's enemies.;Ces milices urbaines tirent leur nom du godendac flamand, leur arme de prédilection. Elles ont plus d'une fois fait leurs preuves contre la cavalerie lourde.;Diese  städtische Miliz ist nach dem flämischen Morgenstern benannt, den sie im Kampf bevorzugen. Sie haben sich mehr als einmal gegen gepanzerte Kavallerie behauptet.;;Estas milicias urbanas llevan el nombre de la maza flamenca Goedendag que esgrimen en la batalla. Se han medido en más de una ocasión contra la caballería acorazada. ;;;;;;;;;x
ca_culture_group_south_slavic_1;Caravan Guard Stables;Terrain d'entraînement des gusars;Gusaren-Reitgelände;;Campo de entrenamiento de Gusar;;;;;;;;;x
ca_culture_group_south_slavic_2;Caravan Guard Stables;Terrain d'entraînement des gusars;Gusaren-Reitgelände;;Campo de entrenamiento de Gusar;;;;;;;;;x
ca_culture_group_south_slavic_3;Caravan Guard Stables;Terrain d'entraînement des gusars;Gusaren-Reitgelände;;Campo de entrenamiento de Gusar;;;;;;;;;x
ca_culture_group_south_slavic_4;Caravan Guard Stables;Terrain d'entraînement des gusars;Gusaren-Reitgelände;;Campo de entrenamiento de Gusar;;;;;;;;;x
ca_culture_group_south_slavic_1_desc;Being a wandering people, the Strigany often train and equip the strongest of their own to guard their travelling caravans. In times of war, they are called to serve as support cavalry.;Cette cavalerie légère trouve son origine en Serbie. Ses membres sont armés de lances et de boucliers et servent surtout à appuyer les autres unités. Ils chargent l'ennemi dès que l'occasion se présente.;Diese leichte Kavallerie-Streitmacht kann seine Herkunft bis nach Serbien zurückverfolgen. Bewaffnet mit Speeren und Schilden, dienen sie häufig in einer unterstützenden Weise, und greifen den Feind an, sobald sich ihnen eine Gelegenheit bietet.;;Los orígenes de esta caballería ligera se remontan a Serbia. Armada con lanzas y escudos, a menudo cumple una labor de apoyo y carga contra el enemigo tan pronto como se presenta la oportunidad.;;;;;;;;;
ca_culture_pictish_1;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_2;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_3;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_4;Hall of War;Salle des guerriers;Kriegerhalle;;Antesala de la Guerra;;;;;;;;;x
ca_culture_pictish_1_desc;The Hall of War is where the most experienced and fierce of the Albion woad raiders gather to train their skills and exchange stories of battle. When the horns call them to war, and the woad is painted upon them, they are a fearsome force - woe to those that come in their path!;La salle des guerriers est l'endroit où de redoutables guerriers pictes très expérimentés se rassemblent pour s'entraîner et se raconter leurs exploits. Au son des cors qui appellent à la bataille, ils deviennent une force terrible. Pitié pour ceux qui se retrouveront sur leur chemin !;In der Kriegerhalle versammeln sich die erfahrensten und und wildesten piktischen Krieger, um ihre Fähigkeiten zu üben und Geschichten vom Kampf auzutauschen. Wenn die Hörner zum Krieg blasen, sind sie eine furchterregende Macht - wehe dem, der sich ihnen in den Weg stellt!;;La Antesala de la Guerra es donde los más fieros y experimentados guerreros pictos se reúnen para entrenar sus habilidades e intercambiar historias de batallas. Cuando los cuernos los llaman a la guerra son una temible fuerza – ¡Ay de aquellos que se crucen en su camino!;;;;;;;;;x
ca_culture_ethiopian_1;Khopesh Guard Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_ethiopian_2;Khopesh Guard Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_ethiopian_3;Khopesh Guard Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_ethiopian_4;Khopesh Guard Barracks;Caserne des guerriers nubiens;Nubische Kriegerbaracken;;Barracas de Guerreros Nubios;;;;;;;;;x
ca_culture_ethiopian_1_desc;The Lahmians actively nurture amongst their living servants many traditions originating in their long lost homeland. One of these is the training of elite warriors in the art of the Khopesh, a deadly, bronze sickle-sword native to Nehekhara.;Cette caserne est le lieu où les anciennes traditions des guerriers nubiens sont encouragées et développées. Depuis les anciens temps, la Nubie est respectée pour la qualité magistrale de ses archers. D'autres unités d'infanterie d'élite sont entrainées et exercées à soutenir cette puissante arme des dirigeants nubiens.;In diesen Barracken werden die traditionellen Nubischen Krieger ausgebildet. Nubien ist seit der Antike für seine fähigen Bogenschützen bekannt, so dass seine besten Soldaten darauf gedrillt werden, die mächtigste Waffe der Nubischen Herrscher auf dem Schlachtfeld zu unterstützen.;;En estas barracas es donde se desarrollan y mejoran las tradiciones militares nubias. Nubia es respetada por sus brillantes arqueros, y otras unidades deélite en infantería son entranados para el uso de esta potente arma de los gobernantes nubios.;;;;;;;;;x
ca_culture_jewish_1;Strygan Blood Legion Barracks;Caserne d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_2;Strygan Blood Legion Barracks;Caserne d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_3;Strygan Blood Legion Barracks;Caserne d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_4;Strygan Blood Legion Barracks;Caserne d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_indian_1;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_2;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_3;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_4;War Elephant Pens;Enclos pour éléphants de guerre;Gehege der Kriegselefanten;;Rediles de Elefantes de Guerra;;;;;;;;;x
ca_culture_indian_1_desc;This is where the fearsome Indish war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_2_desc;This is where the fearsome Indish war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_3_desc;This is where the fearsome Indish war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_indian_4_desc;This is where the fearsome Indish war elephants are bred and trained.;On y élève et on y dresse les terrifiants éléphants de guerre.;Hier werden die furchterregenden Kriegselefanten gezüchtet und trainiert.;;Aquí es donde los temibles elefantes de guerra se alimentan y entrenan.;;;;;;;;;x
ca_culture_jewish_1_desc;These barracks house elite Strygan warriors, trained to fight in the style of the ancient Mourkain Empire. The Blood Legions are heavy infantry troops, who fight in tight, disciplined ranks, equipped with intricate weapons and armour of the best quality.;C'est là que l'infanterie d'élite au service d'un seigneur juif s'entraîne. Une attention spéciale est donnée pour équiper les soldats avec les meilleures armures lourdes qui puissent être achetées. Cela, combiné avec l'entraînement rigoureux et une discipline de fer, font de ces soldats une terrifiante force d'élite.;Hier übt die Elite-Infanterie der jüdischen Herrscher. Besonderer Aufwand wird betrieben um die Soldaten mit den besten und teuersten schweren Rüstungen auszustatten. Kombiniert mit rigorosem Training und eisener Disziplin werden diese Soldaten zu einer gefürchteten Elitetruppe.;;Aquí es donde se entrena la infantería de élite que sirve a los señores judios. Se pone especial atención en equipar a los soldados con la mejor armadura que el dinero pueda comprar. Combinado esto con el entrenamiento riguroso y la disciplina férrea, hacen que estas fuerzas de élite sean realmente temidas.;;;;;;;;;x
VASSAL_BISHOPS;Vassal Priests;Évêques Vassaux;Bischöfe - Vasallen;;Obispos vasallos;;;;;;;;;x
tax_levy_law_theocracy;Temple;Église;Klerus;;La Iglesia;;;;;;;;;x
tax_levy_law_theocracy_desc;Temple Obligation Laws;Lois d'obligations d'Église;Pflichten des Klerus;;Leyes de obligaciones de la iglesia;;;;;;;;;x
tax_levy_law_theocracy_0;Heavily Tax Focused Temple Obligations;Obligations d'Église avec fort accent sur les impôts;Pflichten des Klerus: deutlich auf Steuern fokussiert;;Obligaciones de la iglesia profundamente centradas en los impuestos;;;;;;;;;x
tax_levy_law_theocracy_0_desc;This law governs how much tax and levies the Temples in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops.;Cette loi détermine de combien d'impôts et de levées l'Église du royaume est obligée de s'acquitter. Les prêtres ont tendance à favoriser un mélange de levée de troupes pour leur seigneur et de paiement d'impôts.;Das Gesetz reguliert, wie viele Steuern und Truppen die Kirche zu liefern hat. Die Priester ziehen es vor, dem Lehnsherrn Geld und Truppen in einem ausgewogenen Verhältnis zu liefern.;;Esta ley determina con cuántos impuestos y levas está obligada a contribuir la iglesia del reino. El clero tiende a favorecer el suministro a su señor de una mezcla de impuestos y tropas.;;;;;;;;;x
tax_levy_law_theocracy_1;Tax Focused Temple Obligations;Obligations d'Église avec accent sur les impôts;Pflichten des Klerus: auf Steuern fokussiert;;Obligaciones de la iglesia centradas en los impuestos;;;;;;;;;x
tax_levy_law_theocracy_1_desc;This law governs how much tax and levies the Temples in the realm is obliged to contribute. The priesthood tends to favor supplying their liege with a mix of taxes and troops;Cette loi détermine de combien d'impôts et de levées l'Église du royaume est obligée de s'acquitter. Les prêtres ont tendance à favoriser un mélange de levée de troupes pour leur seigneur et de paiement d'impôts.;Das Gesetz reguliert, wie viele Steuern und Truppen die Kirche zu liefern hat. Die Priester ziehen es vor, dem Lehnsherrn Geld und Truppen in einem ausgewogenen Verhältnis zu liefern.;;Esta ley determina con cuántos impuestos y levas está obligada a contribuir la iglesia del reino. El clero tiende a favorecer el suministro a su señor de una mezcla de impuestos y tropas.;;;;;;;;;x
tax_levy_law_theocracy_2;Slightly Tax Focused Temple Obligations;Obligations d'Église avec faible accent sur les impôts;Pflichten des Klerus: leicht auf Steuern fokussiert;;Obligaciones de la iglesia ligeramente centradas en los impuestos;;;;;;;;;x
