#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;x
EVTOPTDWARF.14.a;Go ahead and enter the place myself. We have to find out what this was for!;;;;;;;;;;;;x
EVTOPTDWARF.14.b;Leave this be. We do not want to disturb anything.;;;;;;;;;;;;x
EVTDESCDWARF.15;You enter the unknown building, but don't recognize anything. Kicking open one door, you find the sarcophagus of another Dwarf. You just desecrated a tomb!;;;;;;;;;;;;x
CURSES!;Curses!;;;;;;;;;;;;x
EVTDESCDWARF.16;As you enter the building, you recognize some of the runes on the entrance. And the engravings on the inside. This is an old shrine of Grungni! You immediately begin a prayer, and then search for relics of old to take home, to safety.;;;;;;;;;;;;x
EVTOPTDWARF.16.a;We have truly been blessed by him!;;;;;;;;;;;;x
EVTDESCDWARF.17;You have been wounded, and can no longer carry on searching the tunnels with the others. It is time to return home.;;;;;;;;;;;;x
IF_I_HAVE_TO;If I have to...;;;;;;;;;;;;x
gotunneling_desc;Go tunneling, discovering what there is to find underground.;;;;;;;;;;;;x
returnfromtunneling_desc;Return from tunneling towards your hold.;;;;;;;;;;;;x
gotunneling;Go tunneling;;;;;;;;;;;;x
returnfromtunneling;Return from tunneling;;;;;;;;;;;;x
searching_underground;Searching underground;;;;;;;;;;;;x
searching_underground_desc;Searching through the depths for treasure and relics.;;;;;;;;;;;;x
dwarfunification0desc;You have taken some time to look at things, and realized that the High Kingdom needs a new push to reunite. You're both known and renowned enough to give that push and be elected by a council of kings as the new High king. Will you call the others to your court?;;;;;;;;;;;;x
dwarfunification0A;Yes, the time has come!;;;;;;;;;;;;x
dwarfunification0B;No, things are fine right now!;;;;;;;;;;;;x
dwarfunification1desc;The messengers quickly reach every hold that the Dwarfs still maintain - A Hold King called for a Council of Kings, something not done in centuries, to elect a new, proper High King. The other kings at least humour the meeting, it seems.;;;;;;;;;;;;x
dwarfunification2desc;This Dwarf, renowned and powerful from what you heard, has called a Council of Kings and declared his High Kingship true and the old line powerless. Do you assist this claimant?;;;;;;;;;;;;x
dwarfunification2A;Yes, let the holds stand united once more!;;;;;;;;;;;;;x
dwarfunification2B;No, I'll never accept this beardling as my King!;;;;;;;;;;;;x
dwarfunification3desc;You have sworn to serve the new High King, and therefore, the old kingship is of no importance anymore.;;;;;;;;;;;;x
dwarfunification4desc;My High King, I declare your word as truthful and accept your declaration of High Kingship. Let Karak Ankor reunite and the enemies of our clans tremble!;;;;;;;;;;;;x
dwarfunification4A;Well said. Have an Ale, and slay the Greenskins!;;;;;;;;;;;;x
dwarfunification5desc;You declare your unwillingness to serve a usurper High King, but many of your clan aren't entirely with you on that...;;;;;;;;;;;;x
dwarfunification5A;Bah, let them grumble!;;;;;;;;;;;;x
dwarfunification6desc;I will never willingly serve you, Pretender-King! Son of a Grobi Shaman and a She-troll! Come and face us, if you dare...;;;;;;;;;;;;x
dwarfunification6A;Well, we'll see how he fares alone!;;;;;;;;;;;;x
claim_the_high_kingship; Claim the High Kingship;;;;;;;;;;;;x
claim_the_high_kingship_desc; Call in the Council of Kings, to declare yourself High King!;;;;;;;;;;;;x
dwarfunification7desc;Word spreads around the world quickly - a Dwarf proclaimed his right to rule as the High King, and the other Dwarfs are gathering to agree or reject his terms. A new age for the Dwarfs might dawn...;;;;;;;;;;;;x
